LABEL	DOCUMENT
earn	mars store mxxx sees qtr year loss and charge mars store inc said it expects to report a loss of about dlrs for the fourth quarter and about mln dlrs for the fiscal year ended january as a result of the loss the company said it has decided to discontinue the operations of its big value outlets division which will result in a yet undisclosed one time charge against earnings for the year the estimated mln dlrs year loss or about cts a share compares with earnings of dlrs or cts a share recorded last year the fourth quarter loss was affected by an abnormally high inventory shrinkage lower than planned sales and higher markdowns related to increased promotional activity all of which reduced fourth quarter gross margins the company said in order to concentrate on the company s core business the operation of discount and promotional department stores mars said it has decided to close the big value division reuter
earn	jardine matheson plans four for one bonus issue jardine matheson holdings ltd jard hkg said it planned a bonus issue of four new b shares of h k cents each for every ordinary share of par value two dlrs a company statement said the firm expects to pay a total dividend of four cents per b share while the a share dividend will be maintained at last year s level of cents a share jardine matheson announced earlier a pct jump in net profits to mln dlrs from mln in shareholders funds increased to billion dlrs from billion in the statement said it quoted chairman simon keswick as saying jardine matheson achieved the good performance through satisfactory results in most sections especially hong kong land co ltd hkld hkg jardine fleming co ltd and its business in japan he said the group s stake of about pct in hong kong land which will be lowered to pct after the completion of a reorganisation is a long term investment and now stands at a level which causes us no financial strain or problems of asset imbalance keswick said the issue of new b shares will give the group the flexibility in the future to issue ordinary shares for expansion without jeopardising the shareholding stability which has been brought about through the group s recent restructuring he said the new issue is pending approval from both the firm s shareholders and warrant holders adding an appropriate adjustment will be made to the warrant exercise price the jardine group has nearly completed its reorganisation with jardine matheson transferring its control of hk land to the new unit jardine strategic holdings ltd jardine strategic will also hold majority stakes in the two companies spun off from hk land mandarin oriental international ltd and dairy farm international holdings ltd plus cross holdings with jardine matheson jardine matheson which had debts of about billion dlrs last year will become debt free after the restructuring a positive cash flow from operations and disposals continuing into has transformed our balance sheet keswick said he noted the firm last year sold interests in airfreight operations australian properties and trucking business and its remaining u s oil and gas activities jardine matheson decided to make a provision against its general trading business in the middle east in view of the continuing weakness of oil prices keswick said but he said the operations would be profitable in the longer term he said the firm s function has evolved into one primarily of strategy structure and financial and personnel policy he said jardine matheson will reduce the size of the board of directors but will simultaneously create a new pacific regional board he gave no further details of the change jardine matheson shares rose cents to dlrs at midday on the hong kong stock market in early trading it had fallen to dlrs because of rumours yesterday that the firm planned a rights issue reuter
interest	citibank says it raises base rate to pct from pct
earn	revenue properties co ltd year loss shr loss eight cts vs loss cts net loss vs loss revs mln vs mln reuter
earn	timminco ltd year net oper shr cts vs cts oper net vs revs mln vs mln avg shrs vs note net excludes extraordinary gain of dlrs or seven cts shr vs yr ago gain of dlrs or one ct shr reuter
earn	kevlin microwave corp kvlm rd qtr feb net shr profit nil vs profit five cts net profit vs profit revs vs avg shrs vs nine mths shr loss two cts vs profit cts net loss vs profit revs vs avg shrs vs note nine mth orders dlrs up pct and backlog at end of period dlrs up pct from a year before reuter
earn	temco service industries inc st qtr dec shr cts vs cts net vs revs mln vs mln reuter
earn	total system services inc tsys st qtr net shr nine cts vs seven cts net vs revs mln vs mln reuter
earn	united illuminating co uil two months feb shr dlr vs dlr net mln vs mln oper revs mln vs mln mths shr dlrs vs dlrs net mln vs mln oper revs mln vs mln note periods do not reflect the terms of earnings stipulation agreement among the company and various departments submitted for approval on march reuter
earn	carolina power and light co cpl sets payout qtly div cts vs cts prior pay may one record april reuter
acq	royal resources rrco sets vote on sale royal resources corp said its board set an april a shareholders meeting to vote on the sale of its oil and gas properties for dlrs an increase in authorized common to mln shares from mln and the change of the company s name to royal gold inc the company has agreed to sell its oil and gas properties to victoria exploration n l of perth western australia royal resources also said the sale of its interest in two gold properties the colosseum mine in san bernardino county calif and the camp bird mine near ouray colo was closed on february the company said it received mln dlrs and cancellation of the remaining balance due on the acquisition of the interest adding this represents mln dlrs more than it paid for the interest reuter
earn	princeville development corp pvdc year loss shr diluted loss cts vs profit cts net loss vs profit revs mln vs mln avg shrs diluted vs note current year includes loss of mln dlrs from takeover defense expenses also includes losses of mln dlrs vs dlrs from equity in limited partnerships reuter
crude	gulf canada goc asserts no damage from spill gulf canada corp said a discharge of material at its amauligak drilling site in the beaufort sea caused no danger to the environment yesterday the federal department of energy charged gulf canada with eight counts of illegal dumping for discharging powdered cement and drilling mud between september and last year the charges carry a maximum dlr fine on each count gulf said the government s charges relate to discharging materials without a permit not to environmental damage resulting from the action gulf said it voluntarily informed appropriate government officials when the material was discharged the company also said none of the material was discharged within miles of the closest shoreline it added that one of the materials cited barite is a naturally occurring mineral routinely discharged into the sea during drilling operations reuter
crude	ecuador deputy minister seeks oil aid in venezuela ecuador s deputy energy minister fernando santos alvite arrived here last night for talks on further venezuelan assistance to his country s oil industry following last week s earthquake officials said ecuador was obliged to suspend crude oil exports for an expected five months as a result of damage to miles of pipeline linking its jungle oil fields with the pacific port of balao oil normally accounts for pct of its exports fellow opec member venezuela has already agreed to lend ecuador five mln barrels of crude to be repaid in kind after days to help meet its domestic consumption needs the officials could neither confirm nor deny reports that venezuela will temporarily produce ecuador s entire opec quota set at barrels per day for first half all options are open at this moment in the context of cooperation on oil production a venezuelan energy and mines ministry source said discussions are also under way to arrive at a formula to compensate ecuador for the loss in oil export revenue while the pipeline is repaired officials said santos alvite last night met venezuelan energy and mines minister arturo hernandez grisanti and will today hold talks at technical level officials said industry sources said that among the options are for venezuela to produce ecuador s entire quota or for venezuela and non opec mexico to share it and for the latter to supply ecuador s far eastern clients but the ministry source said that no decision has yet been reached on the matter and that an announcement would be made in due course santos alvite said earlier in quito that ecuador would have to import six to seven mln barrels of crude oil to meet its needs until the line was repaired ecuador energy and mines minister javier espinosa teran said last night his country needs mln dlrs to repair the damage to the export pipeline caused by the earthquake reuter
earn	echlin inc ech dividend increased pct qtly div cts vs cts in prior qtr payable april record april two reuter
earn	american vanguard corp amgd year net shr cts vs cts net vs sales mln vs mln note th qtr figures not given reuter
earn	national convenience ncs to have rd qtr loss national convenience stores inc said it expects to report a loss for the third quarter ending march due to continued poor sales in texas especially in houston in last year s third quarter national convenience earned dlrs or eight cts per share including a gain of dlrs from the sale of stores to another operator it said the results also included earnings from gasoline operations of dlrs or cts per share caused by unusually high gross margins on gasoline sales of cts per gallon that were caused by rapidly falling oil prices national convenience said its third quarter is usually weak due to winter weather reuter
acq	bankamerica bac to sell german banking unit bankamerica corp said it agreed to sell bankhaus centrale credit ag its german consumer banking subsidiary and german credit card operations to banco de santander of spain terms were not disclosed the deal is expected to close in the second quarter the bank holding company said bankhaus centrale credit with branches had total assets of mln marks at year end the credit card operation services visa card holders and merchants in germany it said reached later a bankamerica spokesman said the company would record a pretax gain of mln dlrs from the transactions the spokesman declined however to disclose the price paid for the operations by banco de santander or other terms of the deal reuter
crude	eia says distillate gas stocks off in week distillate fuel stocks held in primary storage fell by mln barrels in the week ended march six to mln barrels the energy information administration eia said in its weekly petroleum status report the department of energy agency said gasoline stocks were off barrels in the week to mln barrels and refinery crude oil stocks fell mln barrels to mln the eia said residual fuel stocks fell mln barrels to mln barrels and crude oil stocks in the strategic petroleum reserve spr rose barrels to mln the total of all crude refined product and spr stocks fell mln barrels to it said reuter
acq	derlan acquires pct of aurora industries derlan industries ltd said it acquired pct of aurora industries inc of montgomery illinois for an undisclosed price closing is subject to completion of legal formalities derlan said reuter
trade	canadians urge exemption from u s trade bill a group of canadian lawmakers from ontario today asked their u s counterparts to exempt canada from the mandatory trade retaliation provisions in a major trade bill being considered by the u s congress at a meeting of the northeast midwest coalition an organization of u s legislators david cooke chairman of the ontario parliament s select committee on economic affairs said the exemption would help trade relations the trade legislation to be considered by the full house in late april would require president reagan to retaliate against foreign unfair trade practices unless the trade actions would harm the u s economy currently reagan can reject trade sanctions on any grounds cooke a member of the liberal party told the u s congressmen i can understand the trade bill i think it has to do with concerns you have with the other parts of the world i would suggest to you that we are your best friends you do not have those concerns with canada and you should sincerely consider exempting our country from that bill he added canada is the united states largest trading partner with two way trade more than billion dlrs in according to the coalition but the u s ran up a billion dlr deficit in manufactured goods that year compared to a billion dlr surplus in services trade with its neighbour reuter
acq	microtel inc makes acquisition microtel inc said it has completed the acquisition of american teledata corp and its us dial subsidiary which provide long distance telephone service in northeast florida terms were not disclosed microtel s shareholders include norfolk southern corp nsc m a com inc mai centel corp cnt alltel corp at and e f hutton group inc efh reuter
earn	peoples bancorporation peop quarterly dividend qtly div cts vs cts pay april record march reuter
earn	hydraulic thc splits for hikes dividend the hydraulic co said its board approved a three for two stock split of its common stock and increased its quarterly cash dividend it said the stock split will occur through a pct stock distribution on hydraulic s common stock payable april to stockholders of record on april the quarterly cash dividend payable april to stockholders of record on april is to be paid on hydraulic s pre split shares that are currently outstanding the company said the dividend will be cts per share up from cts per share it will represent a quarterly common stock cash dividend of cts per share on the share that will be outstanding after the stock split the company said reuter
acq	heinz interested in buying guinness brewing h j heinz hnz n chairman tony o reilly would be interested in buying guinness plc guin l s brewery division if it were for sale a spokesman said the spokesman reacting to irish and british press reports said he continues to be interested were the group to offer the brewery side of guinness for sale but he has not put together a consortium nor has he been buying shares he was quoted by the irish magazine business and finance as saying he would be interested if it came on the market and that he had the support of two international banks if he decided such a purchase might be worthwhile in the magazine article he suggested that if brewing profits were calculated to be in the region of mln punts the asking price would not be higher than mln punts a multiple of ten times earnings would be the top whack for the brewing division in the current guinness situation he said this would mean an expensive exercise right on the edge but not impossible he added the deal would mean buying the dublin london nigerian and malaysian breweries because it could only be sold as an integral unit if it was going to be sold at all o reilly said reuter
earn	residential mortgage investments inc rmi payout qtly div cts vs cts prior pay april record march reuter
money-fx	baker says he stands by paris currency agreement treasury secretary james baker said he stood by the paris agreement among leading industrial nations to foster exchange rate stability around current levels i would refer you to the paris agreement which was a recognition the currencies were within ranges broadly consistent with economic fundamentals baker told the cable news network in an interview we were quite satisfied with the agreement in paris otherwise we would not have been a party too it he said baker also noted the nations agreed in the accord to co operate to foster greater exchange rate stability around those levels he refused to comment directly on the current yen dollar rate but said flatly that foreign exchange markets recently tended to draw unwarranted inferences from what i say baker was quoted on british television over the weekend as saying he has no target for the u s currency a statement that triggered this week s renewed decline of the dollar i think the paris agreement represents evidence that international economic policy co ordination is alive and well baker said the treasury secretary stressed however it was very important for the main surplus countries to grow as fast as they could consistent with low inflation to resolve trade imbalances he added that federal reserve board chairman paul volcker has also been very outspoken in suggesting main trading partners grow as fast as they can baker noted that the j curve the delayed beneficial effect of a weakening of a currency on that country s trade balance takes to months to work its way through to the trade deficit and it is now months since the plaza agreement to lower the dollar s value he also said improvements in the trade deficit should come from other sources besides the exchange rate and pointed out the administration s package to improve u s competitiveness was now before congress reuter
acq	swedish match sells portuguese unit swedish match ab smbs st said it was selling one of its portuguese subsidiaries sociedade de iniciativa e aproveitamentos florestais sarl siaf to the porto based sonae group for an undisclosed price siaf a subsidiary of swedish match since had a turnover last year of mln crowns the swedish group said in a statement reuter
trade	nakasone to visit washington in late april prime minister yasuhiro nakasone will make an official week long visit to the united states from april and hold talks in washington with president reagan chief cabinet secretary masaharu gotoda told reporters government sources said nakasone would try to resolve growing bilateral trade friction and discuss the june venice summit of western industrial democracies foreign minister tadashi kuranari will accompany nakasone ministry officials said u s industry sources in washington said the white house economic policy council was recommending trade sanctions against japan for violating the two countries agreement on semiconductor trade under the pact japan pledged to stop dumping microchips in the u s and asia and open its domestic market to u s semiconductors reuter
acq	timminco acquires universal adhesives timminco ltd said it acquired universal adhesives inc of memphis for undisclosed terms in a move to expand timminco s operations into the united states the company said universal adhesives with five u s plants has annual sales of mln u s dlrs which will double timminco s presence in the north american adhesives market timminco said universal adhesives will complement the company s canadian based industrial adhesives division and is a key step in its long term goal for expansion in the specialty chemical field reuter
interest	first chicago fnb raises prime rate first chicago corp said its first national bank of chicago raised its prime rate to pct from pct effective immediately reuter
crude	api says distillate gas stocks off in week distillate fuel stocks held in primary storage fell by mln barrels in the week ended feb to mln barrels from mln the previous week the american petroleum institute api said in its weekly statistical bulletin the oil industry trade group said gasoline stocks fell barrels to mln barrels from a revised mln while crude oil stocks rose barrels to mln from a revised mln it said residual fuel stocks fell barrels to mln from mln barrels api said refinery runs in the week fell to mln barrels per day from a revised mln and refinery use of operating capacity was pct off from a revised pct crude oil imports in the week fell to mln bpd from a revised mln api added reuter
acq	leucadia luk has pct of minstar mnst leucadia national corp said two of its subsidiaries have acquired a pct stake in minstar inc a corporation controlled by corporate raider irwin jacobs and used by him in his forays to acquire stock in companies in a filing with the securities and exchange commission leucadia said its lnc investments inc a newark del investment firm and charter national life insurance co a st louis joint stock life insurance company bought their combined minstar common shares for investment purposes only the leucadia subsidiaries had held an pct stake in minstar but cut to pct or shares last july since july leucadia said its companies have bought minstar common shares for a total of mln dlrs leucadia said it bought the minstar stake to obtain an equity position in the company and has no intention of seeking control of it nearly half of leucadia s common stock is owned by tlc associates a salt lake city utah general partnership whose partners include the chairman and president of leucadia and other investors reuter
earn	maynard oil co moil year loss oper shr loss cts vs profit cts oper net loss mln vs profit four mln revs mln vs mln avg shrs mln vs seven mln note prior year excludes extraordinary gain of cts per share reuter
earn	jamesway corp jmy th qtr jan net shr primary cts vs cts shr diluted cts vs cts net vs revs mln vs mln avg shrs primary vs avg shrs diluted vs year shr primary dlrs vs dlrs shr diluted dlrs vs dlrs net mln vs year revs mln vs mln avg shrs primary vs avg shrs diluted vs note includes after tax lifo charges of dlrs vs dlrs for qtr and dlrs vs dlrs for year reuter
trade	ec approves mediterranean financial packages ec ministers have approved financial packages for several mediterranean states totalling billion european currency units an ec official said the packages part of special ec trade agreements with tunisia egypt lebanon israel algeria morocco and jordan until include mln ecus in grants he said they include one billion ecus in loans from the european investment bank the ec long term financing arm the framework for the transfers was signed yesterday by ec farm ministers after being agreed in principle by foreign ministers earlier reuter
acq	rospatch rpch rejects diagnostic drs bid rospatch corp said it rejected a proposal by diagnostic retrieval systems inc to acquire its stock at dlrs a share rospatch s board believes that the long term interests of its shareholders will be best served by continuing as an independent public company at this time the company said in response to an unsolicited offer from diagnostic retrieval rospatch said diagnostic s offer of february is a variation of a previous offer in january the nature of which was not disclosed rospatch said it advised diagnostic retrieval that it would be contrary to the best interests of the corporation to engage in any discussions concerning a business combination with diagnostic retrieval reuter
interest	fed expected to add reserves economists say the federal reserve is expected to enter the u s government securities market to add reserves today economists said they said the fed would probably supply temporary reserves indirectly by arranging one to two billion dlrs of customer repurchase agreements after averaging pct yesterday federal funds were opened at pct and remained at that level reuter
earn	utilicorp ucu seeks to split stock utilicorp united inc said its management is recommending to the board of directors a three for two stock split and an increase in the quarterly cash dividend rate currently at cts per common share the company said it is also submitting to shareholders at its may annual meeting a proposal authorizing an additional class of common stock utilicorp said the board of directors will vote on the split at its next regularly scheduled board meeting on may it added that its semi annual four pct stock dividend will not change utilicorp said the proposal to create a new class of stock if approved will authorize mln shares of class a common stock with a par value of one dlr the stock could be issued in various series with terms rights and preferences designated by the board in each instance utilicorp said the company said the new stock is intended to enhance utilicorp s ability to carry out future financings investments acquisitions or for other corporate purposes reuter
earn	westlb luxembourg reports lower net profit westdeutsche landesbank girozentrale welg f said its wholly owned luxembourg subsidiary westlb international sa posted a decline in net profit to mln marks from mln a year earlier westlb international will pay a mln mark dividend to westlb down from mln a year earlier the dividend was lower than in because the record profit of the previous year could not be repeated due to changed market conditions it said increased funds were also allocated for provisions business in the first three months of developed positively it added westlb international set aside mln marks for international credit risks in up from mln marks in bringing the total amount of provisions shown in the balance sheet to mln marks operating profit fell to mln marks in from mln in balance sheet total fell to billion marks from billion reflecting the lower dollar and the fact that credit business redemptions were not fully offset by new lending the statement said westlb international s business with private customers showed a pleasing expansion last year this development was aided by cooperation between the bank and the savings banks in the west german state of north rhine westphalia where parent bank westlb is based deposits by non banks rose more than pct to a total of billion westlb international said it plans to expand its range of services for private clients reuter
interest	u s fhl banks sets rates on debt offering the office of finance federal home loan banks said it set rates on today s debt offering of pct on its billion dlr issue pct on a billion dlr issue and pct on a mln dlr issue it said the issues which are for settlement march mature march march and march respectively the office said telephone confirmation of allotments must be received by hrs est today and that secondary trading will begin at hrs est tomorrow reuter
money-fx	u k money market given late help worth mln stg the bank of england said it provided the market with unspecified late assistance worth mln stg it has given the market total assistance of mln stg today compared with a liquidity shortage it estimated at a revised mln stg reuter
earn	pagurian corp ltd year net shr dlrs vs cts net mln vs mln revs mln vs mln note shares outstanding mln vs mln avg shrs not given company recently raised equity and voting interests in hees international corp to pct and pct respectively reuter
crude	treasury s baker sees reagan opposing oil tax treasury secretary james baker told the house appropriations committee that he believes the president remains opposed to an oil import fee he said reagan last year rejected the idea and he added in my personal view he is not likely to change his thinking on that he said reagan last year opposed the idea because the energy industry was divided on the issue a tax would require a new bureacracy to administer and the resulting higher energy prices would harm u s competitiveness reuter
acq	firm sells entire allegheny int l ag stake southeastern asset management inc and its two controlling shareholders said they sold their entire pct stake in allegheny international inc in a filing with the securities and exchange commission southeastern a memphis tenn investment advisor said it sold the entire share stake between march and at prices ranging from to dlrs each reuter
earn	first connecticut fco sets quarterly payout qtly div cts vs cts prior pay april record april three note first connecticut small business investment co reuter
interest	barclays midland follow natwest base rate cut barclays bank plc bcs l and midland bank plc mdbl l said they are cutting their base lending rates to pct from pct the cuts follow a similar move by national westminster bank plc nwbl l the rate changes take effect tomorrow reuter
acq	dna medical dnam signs pact for stock sale dna medical inc said walter g mize had bought about shares or about pct of dna s outstanding stock for dlrs cash under an agreement with mize dna said he will also become chairman and may at his option expand the board to provide him equal representation with the current board dna also said it will submit a proposal at its annual meeting for it to acquire three companies owned by mize heritage lite meat corp national lean beef corp and heritage cattle corp dna said the total value of the transactions is dlrs dna said that when the transactions are approved by its shareholders it will issue additional shares of its common so that mize will own pct of its issued and outstanding stock dna said mize will replace its current chairman donald holbrook who will remain on the board the company also said it will continue in the medical development business as long as it is deemed to be advantageous reuter
earn	texas international tei has unqualified audit texas international inc said it has received an unqualified audit opinion from auditor arthur andersen and co the company had received a qualified opinion on financial statements subject to its ability to resolve negotiations with its u s bank group subsequently it sold almost all its domestic oil and natural gas properties and retired all u s bank debt in march with part of the proceeds reuter
acq	enfield corp plans notes preferred issue enfield corp ltd said it planned to issue mln dlrs principal amount of notes and mln class e preferred shares at dlrs a share the notes would bear pct yearly interest mature march and be convertible to common shares on either march or the business day before a fixed redemption date at dlrs a share enfield said it said each preferred share would be convertible to common shares on either march or the business day before a fixed redemption date gordon capital corp and dominion securities inc agreed to acquire the issues it said enfield said it would use proceeds to retire short term bank debt and boost its pct stake in consumers packaging inc and its interest in federal pioneer ltd through open market purchases reuter
acq	quaker oats oat sells vernell s fine candies quaker oats co said keystone partners inc has purchased vernell s fine candies inc previously an indirect subsidiary of quaker the price was not disclosed it said vernell s based in bellevue wash had annual sales exceeding mln dlrs vernell s was acquired by quaker in its acquisition of golden grain macaroni co in august reuter
earn	bell atlantic corp bel increases payout qtrly div cts vs cts pay may one record march reuter
earn	computer microfilm comi sees higher net computer microfilm corp said it expects revenues of over mln dlrs and higher earnings in the company today reported earnings of dlrs on revenues of dlrs up from earnings of dlrs and revenues of dlrs a year before reuter
earn	quick and reilly group bqr th qtr feb shr cts vs cts net mln vs mln revs mln vs mln year shr dlrs vs dlr net mln vs mln revs mln vs mln reuter
acq	financial performance fpcc pursues expansion financial performance corp said it continued its rapid expansion with a signing of a partnership agreement with gold sierra financial advisors founded by former bank of america officers in capital markets it said the agreement under which it owns pct of the partnership enables it to move into the mergers and acquisitions business reuter
acq	first granite fgbi agrees to be acquired first granite bancorp inc said it agreed in principle to become a wholly owned subsidiary of magna group inc magi under terms of the agreement first granite shareholders will receive shares of magna for each first granite share held first granite shareholders will be asked to approve the tranaction in late summer first granite which has shares outstanding as of dec had assets of mln dlrs it owns first granite city national bank and colonial bank of granite city ill magna groups as of dec had assets of billion dlrs it owns banks a data services company a mortgage company and a trust company serving st louis as well as springfield centralia and decatur ill reuter
crude	oil firms cut indonesian exploration spending foreign oil companies will spend less on exploration in indonesia this year than last budgeting billion dlrs for calendar against spending of billion dlrs the state oil company pertamina said actual spending last year fell short of the budgeted figure of billion dlrs as oil companies slashed expenditure because of the crash in world oil prices jumardi jukardi head of pertamina s coordinating board for foreign contractors said foreign companies will drill exploration wells and development wells this year against and last year reuter
